date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:01	153/153	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20May%202020%2018:11:07%20GMT	https://web.archive.org/robots.txt		(from )
13:13:03	40424/40424	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20May%202020%2018:11:09%20GMT	https://web.archive.org/web/20130501080746/http://miku.dominos.jp/	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/web/20130501080746/http_/miku.dominos.jp/index.html	(from )
13:13:04	13338/13338	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225e6a6614-341a%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:04	18685/18685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1589486197-18685-1492060197%22	https://web.archive.org/_static/js/ait-client-rewrite.js?v=R-6NEOHA	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/_static/js/ait-client-rewrite4601.js	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:04	1413/1413	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1589486223-1413-298976124%22	https://web.archive.org/_static/js/wbhack.js?v=3Xfa3MuL	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/_static/js/wbhackd1cb.js	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:04	22494/22494	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1589486125-22494-1133250299%22	https://web.archive.org/_static/js/playback.bundle.js?v=3mdvhcaO	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/_static/js/playback.bundle6598.js	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:05	9078/9078	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1589486197-9078-1017513663%22	https://web.archive.org/_static/css/banner-styles.css?v=HyR5oymJ	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/_static/css/banner-styles0d21.css	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:05	5825/5825	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1589486197-5825-715654559%22	https://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2015%20May%202020%2018:11:12%20GMT	https://web.archive.org/web/20130501080746cs_/http://miku.dominos.jp/stylesheets/screen.css	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/web/20130501080746cs_/http_/miku.dominos.jp/stylesheets/screen.css	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:07	32015/32015	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20May%202020%2018:11:13%20GMT	https://web.archive.org/web/20130609082033cs_/http://miku.dominos.jp/stylesheets/screen.css	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/web/20130609082033cs_/http_/miku.dominos.jp/stylesheets/screen.css	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
13:13:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2015%20May%202020%2018:11:14%20GMT	https://web.archive.org/web/20130501080746cs_/http://miku.dominos.jp/stylesheets/print.css	C:/Users/Ferrolino/Desktop/hh/hatsunemiku/web.archive.org/web/20130501080746cs_/http_/miku.dominos.jp/stylesheets/print.css	(from https://web.archive.org/web/20130501080746/http://miku.dominos.jp/)
